STATION,DATE,LATITUDE,LONGITUDE,AIR_TEMP,SEA_SURF_TEMP
6584,1864-04-03T09:00:00,20,-75.83,,80.4
6584,1864-04-03T10:00:00,20.03,-75.77,,81.5
6584,1864-04-03T12:00:00,20.08,-74.62,,81.5
6584,1864-04-03T18:00:00,20.23,-74.23,,81.5
6584,1864-04-03T20:00:00,20.3,-74.12,,80.4
6584,1864-04-04T00:00:00,20.4,-73.87,,79.2
6584,1864-04-04T02:00:00,20.45,-73.62,,77
6584,1864-04-04T04:00:00,20.5,-73.37,,77
6584,1864-04-04T06:00:00,20.63,-73.63,,79.2
6584,1864-04-04T10:00:00,21.78,-72.87,,79.2
6584,1864-04-04T12:00:00,21.35,-72.83,,79.2
6584,1864-04-04T15:00:00,21.4,-72.75,,77
6584,1864-04-04T16:00:00,21.4,-72.72,,77
6584,1864-04-04T18:00:00,21.43,-72.67,,79.2
6584,1864-04-05T00:00:00,21.53,-72.5,,79.2
6584,1864-04-05T06:00:00,22.45,-71.88,,79.2
6584,1864-04-05T08:00:00,22.87,-71.85,,79.2
6584,1864-04-05T09:00:00,23.08,-71.83,,77
6584,1864-04-05T14:00:00,23.93,-71.8,,77
6584,1864-04-05T16:00:00,24.13,-71.8,,77
6584,1864-04-05T22:00:00,24.78,-71.78,,77
6584,1864-04-06T04:00:00,25.37,-71.28,,77
6584,1864-04-06T06:00:00,25.57,-71.35,,74.7
6584,1864-04-06T08:00:00,25.77,-71.38,,74.7
6584,1864-04-06T09:00:00,25.88,-71.45,,72.5
6584,1864-04-06T14:00:00,26.38,-71.38,,72.5
6584,1864-04-06T16:00:00,26.6,-71.23,,72.5
6584,1864-04-06T22:00:00,27,-71,,72.5
6584,1864-04-07T02:00:00,27.18,-70.85,,72.5
6584,1864-04-07T04:00:00,27.3,-70.77,,72.5
6584,1864-04-07T06:00:00,27.4,-70.83,,72.5
6584,1864-04-07T14:00:00,27.75,-70.32,,72.5
6584,1864-04-07T18:00:00,27.83,-70.13,,72.5
6584,1864-04-07T20:00:00,27.88,-70.03,,72.5
6584,1864-04-08T00:00:00,27.95,-69.87,,72.5
6584,1864-04-08T02:00:00,28,-69.8,,70.2
6584,1864-04-08T08:00:00,28.08,-69.78,,70.2
6584,1864-04-08T12:00:00,28.22,-69.78,,70.2
6584,1864-04-08T14:00:00,28.23,-69.75,,69.1
6584,1864-04-08T16:00:00,28.27,-69.72,,69.1
6584,1864-04-08T18:00:00,28.28,-69.67,,69.1
6584,1864-04-08T20:00:00,28.3,-69.63,,68
6584,1864-04-08T22:00:00,28.32,-69.62,,68
6584,1864-04-09T04:00:00,28.58,-69.2,,68
6584,1864-04-09T09:00:00,28.6,-69.25,,68
6584,1864-04-09T10:00:00,28.6,-69.27,,68
6584,1864-04-09T12:00:00,28.62,-69.28,,68
6584,1864-04-09T16:00:00,28.68,-69.33,,68
6584,1864-04-09T22:00:00,28.77,-69.42,,68
6584,1864-04-10T00:00:00,28.8,-69.45,,68
6584,1864-04-10T02:00:00,28.88,-69.48,,69.1
6584,1864-04-10T04:00:00,28.98,-69.53,,69.1
6584,1864-04-10T06:00:00,29.07,-69.58,,68
6584,1864-04-10T08:00:00,29.17,-69.62,,68
6584,1864-04-10T09:00:00,29.2,-69.63,,68
6584,1864-04-10T10:00:00,29.25,-69.65,,68
6584,1864-04-10T12:00:00,29.33,-69.7,,68
6584,1864-04-10T14:00:00,29.4,-69.7,,68
6584,1864-04-10T15:00:00,29.47,-69.7,,67.3
6584,1864-04-10T16:00:00,29.65,-69.9,,67.3
6584,1864-04-10T18:00:00,29.83,-70.12,,67.3
6584,1864-04-10T20:00:00,30.12,-70.23,,66.9
6584,1864-04-10T22:00:00,29.38,-70.37,,66.9
6584,1864-04-11T00:00:00,30.67,-70.48,,66.9
6584,1864-04-11T02:00:00,30.77,-70.52,,66.9
6584,1864-04-11T04:00:00,30.87,-70.55,,66.9
6584,1864-04-11T06:00:00,30.95,-70.58,,65.7
6584,1864-04-11T08:00:00,31.08,-70.62,,65.7
6584,1864-04-11T09:00:00,31.1,-70.63,,66.9
6584,1864-04-11T10:00:00,31.15,-70.65,,66.9
6584,1864-04-11T12:00:00,31.25,-70.68,,67.3
6584,1864-04-11T14:00:00,31.27,-70.62,,67.3
6584,1864-04-11T15:00:00,31.28,-70.6,,67.3
6584,1864-04-11T16:00:00,31.28,-70.57,,67.3
6584,1864-04-11T18:00:00,31.32,-70.52,,67.3
6584,1864-04-11T20:00:00,31.33,-70.45,,65.1
6584,1864-04-11T22:00:00,31.35,-70.38,,65.1
6584,1864-04-12T00:00:00,31.37,-70.32,,64.6
